ID,Subzone,Subzone Total,Total Males,Total Females,Total Chinese,Chinese Males,Chinese Females,Total Malays,Malay Males,Malay Females,Total Indians,Indian Males,Indian Females,Total Others,Others Male,Others_Females
3,ANG MO KIO TOWN CENTRE,4810,2260,2550,4140,1950,2200,140,60,80,370,170,200,160,80,80
4,CHENG SAN,28070,13480,14600,23240,11120,12120,1940,960,980,2280,1150,1130,610,250,370
5,CHONG BOON,26500,12860,13640,21860,10590,11270,1830,920,900,2240,1130,1110,580,220,360
6,KEBUN BAHRU,22620,10660,11970,18710,8780,9930,1820,890,930,1590,780,800,510,210,300
7,SEMBAWANG HILLS,6850,3210,3650,6100,2850,3250,70,40,40,460,210,250,220,110,110
8,SHANGRI-LA,15960,7780,8180,12350,6020,6330,1760,850,900,1480,760,730,370,160,220
9,TAGORE,7950,3790,4160,7160,3400,3760,70,30,40,500,250,250,220,110,110
10,TOWNSVILLE,21140,9930,11210,17360,8150,9210,1440,710,730,1760,840,920,590,240,350
11,YIO CHU KANG,20,,,,,,,,,,,,,,
12,YIO CHU KANG EAST,4200,2090,2120,3740,1850,1890,60,30,30,280,140,140,120,70,50
13,YIO CHU KANG NORTH,,,,,,,,,,,,,,,
14,YIO CHU KANG WEST,24150,11520,12630,19690,9350,10340,2020,1000,1020,1860,910,950,590,270,320
16,BAYSHORE,7450,3580,3870,5090,2370,2710,130,50,80,1590,790,800,650,370,290
17,BEDOK NORTH,81840,39700,42140,57440,27640,29800,15580,7750,7820,6200,3180,3020,2620,1130,1500
18,BEDOK RESERVOIR,25470,12480,12990,19150,9340,9810,3270,1610,1660,2220,1140,1080,830,390,440
19,BEDOK SOUTH,46690,22540,24160,36480,17450,19030,4570,2250,2320,3410,1740,1660,2240,1100,1140
20,FRANKEL,34490,16260,18230,28300,13180,15120,1040,460,590,2730,1390,1340,2420,1240,1180
21,KAKI BUKIT,37150,18210,18940,24060,11710,12350,8710,4310,4410,3380,1750,1630,990,440,550
22,KEMBANGAN,37460,18460,19010,26700,13140,13560,5870,2870,3010,3550,1820,1730,1340,630,710
23,SIGLAP,6440,2980,3460,4570,2070,2500,120,50,80,1380,670,700,370,190,180
25,BISHAN EAST,28310,13420,14880,23910,11290,12620,1260,610,650,2360,1170,1190,780,360,420
